code_commune;commune_name;territoire_code_insee;territoire_name
37051;Champigny-sur-Veude;37196;Richelieu
37052;Chançay;37156;Montlouis-sur-Loire
37053;Chanceaux-près-Loches;37132;Loches
37054;Chanceaux-sur-Choisille;37214;Saint-Cyr-sur-Loire
37055;Channay-sur-Lathan;37123;Langeais
37056;La Chapelle-aux-Naux;37123;Langeais
37057;La Chapelle-Blanche-Saint-Martin;37130;Ligueil
37058;La Chapelle-sur-Loire;37031;Bourgueil
37059;Charentilly;37109;Fondettes
37060;Chargé;37003;Amboise
37061;Charnizay;86207;La Roche-Posay
37062;Château-la-Vallière;72071;Château-du-Loir
37063;Château-Renault;37063;Château-Renault
37064;Chaumussay;86207;La Roche-Posay
37065;Chaveignes;37196;Richelieu
37066;Chédigny;37132;Loches
37067;Cheillé;37014;Azay-le-Rideau
37068;Chemillé-sur-Dême;72068;La Chartre-sur-le-Loir
37069;Chemillé-sur-Indrois;37132;Loches
37070;Chenonceaux;37027;Bléré
37071;Chezelles;37119;L' Île-Bouchard
37072;Chinon;37072;Chinon
37073;Chisseaux;41151;Montrichard
37074;Chouzé-sur-Loire;37031;Bourgueil
37075;Cigogné;37027;Bléré
37076;Cinais;37072;Chinon
37077;Cinq-Mars-la-Pile;37123;Langeais
37078;Ciran;37130;Ligueil
37079;Civray-de-Touraine;37027;Bléré
37080;Civray-sur-Esves;37115;Descartes
37081;Cléré-les-Pins;37123;Langeais
37082;Continvoir;37031;Bourgueil
37083;Cormery;37104;Esvres
37084;Couesmes;72071;Château-du-Loir
37085;Courçay;37104;Esvres
37086;Courcelles-de-Touraine;37123;Langeais
37087;Courcoué;37196;Richelieu
37088;Couziers;37072;Chinon
37089;Cravant-les-Côteaux;37119;L' Île-Bouchard
37090;Crissay-sur-Manse;37119;L' Île-Bouchard
37091;La Croix-en-Touraine;37003;Amboise
37092;Crotelles;37063;Château-Renault
37093;Crouzilles;37119;L' Île-Bouchard
37094;Cussay;37130;Ligueil
37095;Dame-Marie-les-Bois;37063;Château-Renault
37096;Dierre;37003;Amboise
37097;Dolus-le-Sec;37132;Loches
37098;Draché;37226;Sainte-Maure-de-Touraine
37099;Druye;37014;Azay-le-Rideau
37100;Épeigné-les-Bois;41151;Montrichard
37101;Épeigné-sur-Dême;72068;La Chartre-sur-le-Loir
37102;Les Essards;37123;Langeais
37103;Esves-le-Moutier;37130;Ligueil
37104;Esvres;37104;Esvres
37105;Faye-la-Vineuse;37196;Richelieu
37106;La Ferrière;37063;Château-Renault
37107;Ferrière-Larçon;37130;Ligueil
37108;Ferrière-sur-Beaulieu;37132;Loches
37109;Fondettes;37109;Fondettes
37110;Francueil;37027;Bléré
37111;Genillé;37132;Loches
37112;Gizeux;37031;Bourgueil
37113;Le Grand-Pressigny;37115;Descartes
37114;La Guerche;37115;Descartes
37115;Descartes;37115;Descartes
37116;Les Hermites;41149;Montoire-sur-le-Loir
37117;Hommes;37123;Langeais
37118;Huismes;37022;Beaumont-en-Véron
37119;L'Île-Bouchard;37119;L' Île-Bouchard
37120;Ingrandes-de-Touraine;37031;Bourgueil
37121;Jaulnay;37196;Richelieu
37122;Joué-lès-Tours;37122;Joué-lès-Tours
37123;Langeais;37123;Langeais
37124;Larçay;37208;Saint-Avertin
37125;Lémeré;37119;L' Île-Bouchard
37126;Lerné;37072;Chinon
37127;Le Liège;37027;Bléré
37128;Lignières-de-Touraine;37123;Langeais
37129;Ligré;37072;Chinon
37130;Ligueil;37130;Ligueil
37131;Limeray;37003;Amboise
37132;Loches;37132;Loches
37133;Loché-sur-Indrois;36045;Châtillon-sur-Indre
37134;Louans;37104;Esvres
37135;Louestault;37167;Neuillé-Pont-Pierre
37136;Le Louroux;37226;Sainte-Maure-de-Touraine
37137;Lublé;72071;Château-du-Loir
37138;Lussault-sur-Loire;37003;Amboise
37139;Luynes;37139;Luynes
37140;Luzé;37196;Richelieu
37141;Luzillé;37027;Bléré
37142;Maillé;37226;Sainte-Maure-de-Touraine
37143;Manthelan;37130;Ligueil
37144;Marçay;37072;Chinon
37145;Marcé-sur-Esves;37115;Descartes
37146;Marcilly-sur-Maulne;72071;Château-du-Loir
37147;Marcilly-sur-Vienne;37226;Sainte-Maure-de-Touraine
37148;Marigny-Marmande;37115;Descartes
37149;Marray;37167;Neuillé-Pont-Pierre
37150;Mazières-de-Touraine;37123;Langeais
37151;La Membrolle-sur-Choisille;37214;Saint-Cyr-sur-Loire
37152;Mettray;37214;Saint-Cyr-sur-Loire
37153;Monnaie;37261;Tours
37154;Montbazon;37050;Chambray-lès-Tours
37155;Monthodon;37063;Château-Renault
37156;Montlouis-sur-Loire;37156;Montlouis-sur-Loire
37157;Montrésor;37132;Loches
37158;Montreuil-en-Touraine;37003;Amboise
37159;Monts;37159;Monts
37160;Morand;37063;Château-Renault
37161;Mosnes;41167;Onzain
37162;Mouzay;37130;Ligueil
37163;Nazelles-Négron;37003;Amboise
37165;Neuil;37119;L' Île-Bouchard
37166;Neuillé-le-Lierre;37063;Château-Renault
37167;Neuillé-Pont-Pierre;37167;Neuillé-Pont-Pierre
37168;Neuilly-le-Brignon;37115;Descartes
37169;Neuville-sur-Brenne;37063;Château-Renault
37170;Neuvy-le-Roi;37167;Neuillé-Pont-Pierre
37171;Noizay;37156;Montlouis-sur-Loire
37172;Notre-Dame-d'Oé;37214;Saint-Cyr-sur-Loire
37173;Nouans-les-Fontaines;41198;Saint-Aignan
37174;Nouâtre;37226;Sainte-Maure-de-Touraine
37175;Nouzilly;37214;Saint-Cyr-sur-Loire
37176;Noyant-de-Touraine;37226;Sainte-Maure-de-Touraine
37177;Orbigny;41198;Saint-Aignan
37178;Panzoult;37119;L' Île-Bouchard
37179;Parçay-Meslay;37261;Tours
37180;Parçay-sur-Vienne;37119;L' Île-Bouchard
37181;Paulmy;37130;Ligueil
37182;Pernay;37139;Luynes
37183;Perrusson;37132;Loches
37184;Le Petit-Pressigny;86207;La Roche-Posay
37185;Pocé-sur-Cisse;37003;Amboise
37186;Pont-de-Ruan;37159;Monts
37187;Ports;37115;Descartes
37188;Pouzay;37226;Sainte-Maure-de-Touraine
37189;Preuilly-sur-Claise;86207;La Roche-Posay
37190;Pussigny;37115;Descartes
37191;Razines;37196;Richelieu
37192;Reignac-sur-Indre;37104;Esvres
37193;Restigné;37031;Bourgueil
37194;Reugny;37156;Montlouis-sur-Loire
37195;La Riche;37195;Riche (La)
37196;Richelieu;37196;Richelieu
37197;Rigny-Ussé;37022;Beaumont-en-Véron
37198;Rillé;37123;Langeais
37199;Rilly-sur-Vienne;37119;L' Île-Bouchard
37200;Rivarennes;37014;Azay-le-Rideau
37201;Rivière;37072;Chinon
37202;La Roche-Clermault;37072;Chinon
37203;Rochecorbon;37233;Saint-Pierre-des-Corps
37204;Rouziers-de-Touraine;37214;Saint-Cyr-sur-Loire
37205;Saché;37014;Azay-le-Rideau
37206;Saint-Antoine-du-Rocher;37214;Saint-Cyr-sur-Loire
37207;Saint-Aubin-le-Dépeint;72071;Château-du-Loir
37208;Saint-Avertin;37208;Saint-Avertin
37209;Saint-Bauld;37104;Esvres
37210;Saint-Benoît-la-Forêt;37072;Chinon
37211;Saint-Branchs;37104;Esvres
37212;Sainte-Catherine-de-Fierbois;37226;Sainte-Maure-de-Touraine
37213;Saint-Christophe-sur-le-Nais;37167;Neuillé-Pont-Pierre
37214;Saint-Cyr-sur-Loire;37214;Saint-Cyr-sur-Loire
37216;Saint-Épain;37119;L' Île-Bouchard
37217;Saint-Étienne-de-Chigny;37123;Langeais
37218;Saint-Flovier;36045;Châtillon-sur-Indre
37219;Saint-Genouph;37195;Riche (La)
37220;Saint-Germain-sur-Vienne;37072;Chinon
37221;Saint-Hippolyte;37132;Loches
37222;Saint-Jean-Saint-Germain;37132;Loches
37223;Saint-Laurent-de-Lin;72071;Château-du-Loir
37224;Saint-Laurent-en-Gâtines;37063;Château-Renault
37225;Saint-Martin-le-Beau;37156;Montlouis-sur-Loire
37226;Sainte-Maure-de-Touraine;37226;Sainte-Maure-de-Touraine
37227;Saint-Michel-sur-Loire;37123;Langeais
37228;Saint-Nicolas-de-Bourgueil;37031;Bourgueil
37229;Saint-Nicolas-des-Motets;37063;Château-Renault
37230;Saint-Ouen-les-Vignes;37003;Amboise
37231;Saint-Paterne-Racan;37167;Neuillé-Pont-Pierre
37232;Saint-Patrice;37123;Langeais
37233;Saint-Pierre-des-Corps;37233;Saint-Pierre-des-Corps
37234;Saint-Quentin-sur-Indrois;37132;Loches
37236;Saint-Règle;37003;Amboise
37237;Saint-Roch;37109;Fondettes
37238;Saint-Senoch;37132;Loches
37240;Saunay;37063;Château-Renault
37241;Savigné-sur-Lathan;37123;Langeais
37242;Savigny-en-Véron;37022;Beaumont-en-Véron
37243;Savonnières;37018;Ballan-Miré
37244;Sazilly;37119;L' Île-Bouchard
37245;Semblançay;37109;Fondettes
37246;Sennevières;37132;Loches
37247;Sepmes;37226;Sainte-Maure-de-Touraine
37248;Seuilly;37072;Chinon
37249;Sonzay;37167;Neuillé-Pont-Pierre
37250;Sorigny;37159;Monts
37251;Souvigné;72071;Château-du-Loir
37252;Souvigny-de-Touraine;37003;Amboise
37253;Sublaines;37027;Bléré
37254;Tauxigny;37104;Esvres
37255;Tavant;37119;L' Île-Bouchard
37256;Theneuil;37119;L' Île-Bouchard
37257;Thilouze;37159;Monts
37258;Thizay;37072;Chinon
37259;Tournon-Saint-Pierre;86207;La Roche-Posay
37260;La Tour-Saint-Gelin;37196;Richelieu
37261;Tours;37261;Tours
37262;Trogues;37119;L' Île-Bouchard
37263;Truyes;37104;Esvres
37264;Vallères;37014;Azay-le-Rideau
37265;Varennes;37132;Loches
37266;Veigné;37122;Joué-lès-Tours
37267;Véretz;37156;Montlouis-sur-Loire
37268;Verneuil-le-Château;37119;L' Île-Bouchard
37269;Verneuil-sur-Indre;37132;Loches
37270;Vernou-sur-Brenne;37156;Montlouis-sur-Loire
37271;Villaines-les-Rochers;37014;Azay-le-Rideau
37272;Villandry;37123;Langeais
37273;La Ville-aux-Dames;37233;Saint-Pierre-des-Corps
37274;Villebourg;37167;Neuillé-Pont-Pierre
37275;Villedômain;36045;Châtillon-sur-Indre
37276;Villedômer;37063;Château-Renault
37277;Villeloin-Coulangé;37132;Loches
37278;Villeperdue;37159;Monts
37279;Villiers-au-Bouin;72071;Château-du-Loir
37280;Vou;37130;Ligueil
